short_name,lanes_length,dedicated_length,population,minx,miny,maxx,maxy,dedicated_share,rating
Ярославль,18877.029303098312,18877.029303098312,601403.0,39.7571817,57.6296441,39.8701572,57.7026605,1.0,18877.029303098312
Усть-Илимск,14538.737880179704,14538.737880179704,79746.0,102.7368,57.930964,102.797981,58.049534,1.0,14538.737880179704
Салават,10091.214782078023,10091.214782078023,148947.0,55.8896382,53.3334924,55.9201833,53.4020092,1.0,10091.214782078023
Коломна,18070.65058040737,18070.65058040737,138693.0,38.7260718,55.055796,38.8166761,55.1028504,1.0,18070.65058040737
Саяногорск,4311.761020306237,4311.761020306237,45384.0,91.3836194,52.8344593,91.4221145,52.8619969,1.0,4311.761020306237
Старый Оскол,23595.2529493899,23595.2529493899,223711.0,37.8659892,51.1596391,37.9671772,51.3423603,1.0,23595.2529493899
Набережные Челны,51524.6348012622,51524.6348012622,532074.0,52.276475,55.66988,52.528766,55.7684431,1.0,51524.6348012622
Усолье-Сибирское,10953.603896321765,10953.603896321765,75062.0,103.6083728,52.7300887,103.6693944,52.7804792,1.0,10953.603896321765
Нижнекамск,27951.646152801535,27951.646152801535,240097.0,51.806646,55.5803268,51.9834332,55.6790181,1.0,27951.646152801535
Волжский,30486.22405239076,30486.22405239076,323853.0,44.736366,48.7626605,44.86931,48.8389192,1.0,30486.22405239076
Ижевск,31190.407778470853,30797.516453277127,646468.0,53.1510928,56.7958,53.2810008,56.88217,0.9874034566016505,30409.57420071204
Кемерово,41392.43485171393,39118.349974540615,552546.0,85.995852,55.3101704,86.1583625,55.4226886,0.9450603743094579,36969.202469307726
Челябинск,64291.97495925937,60307.89341766183,1187960.0,61.290148,55.099523,61.4925915,55.301533,0.9380314332524055,56570.69969900263
Барнаул,54283.309668076225,49950.828823239826,631124.0,83.6217126,53.2737561,83.7910093,53.3898397,0.9201876069950777,45964.13364227781
Пермь,47454.42596580075,43193.94248285396,1049199.0,56.122045,57.9133791,56.3147448,58.0366435,0.9102194706555461,39315.96746226944
Екатеринбург,77836.8760582425,70737.04392598521,1495066.0,60.4983215,56.7569182,60.692348,56.903848,0.9087857517952707,64284.81764405156
Волгоград,57923.97482204979,52064.95998002279,1004763.0,44.440136,48.467796,44.637158,48.798062,0.8988499173265183,46798.58497365197
Череповец,12838.904778264348,11474.922559857394,312091.0,37.829096,59.1196429,38.0082796,59.1385597,0.8937617933956399,10255.847366174232
Прокопьевск,28858.212908259484,25430.97501086862,187877.0,86.611756,53.85538,86.826652,53.911259,0.8812387340724777,22410.760224806676
Владивосток,5232.798566358607,4607.085776169614,600871.0,131.9360168,43.0967858,131.9669629,43.1262066,0.8804248276989548,4056.192700678438
Осинники,7517.743538478565,6565.591933909742,41274.0,87.3134548,53.5922337,87.362759,53.6313246,0.873346091191411,5734.03405183793
Казань,58405.520954030675,50725.01575152329,1257341.0,49.0013092,55.7300074,49.2380533,55.8703172,0.8684969318473764,44054.52054810782
Ангарск,28998.458931105746,24867.14728252043,222855.0,103.8379123,52.5003622,103.9372735,52.5764865,0.8575334069165383,21324.40952947508
Ульяновск,54931.61505205968,46064.11654838177,625462.0,48.261844,54.236733,48.405088,54.371839,0.8385720409772401,38628.080229789965
Москва,166259.52712586394,138704.32436692578,12655050.0,37.3910237,55.5962196,37.822237,55.8862171,0.834263917170425,115716.01297482873
Красноярск,23136.93077791382,19122.502997831332,1092851.0,92.8857662,55.97961,93.0288525,56.0245638,0.8264926399004225,15804.607984181363
Курск,33498.24953166692,27670.073700893798,450977.0,36.1090706,51.6614313,36.2632231,51.7614884,0.8260155108921864,22855.91006446824
Краснодар,54289.82028010182,44610.2129378619,948827.0,38.905208,44.999553,39.114808,45.0941738,0.8217049293532536,36656.43187053941
Улан-Удэ,24443.05905079697,19871.562528098897,437514.0,107.5743192,51.8051883,107.6789154,51.8553311,0.8129736334066167,16155.056389935333
Магнитогорск,76030.00853303836,61254.29459107992,413251.0,58.9543395,53.3525417,59.1016466,53.475881,0.8056594464863469,49350.10107516108
Ачинск,14266.12623899604,11463.05172434422,104850.0,90.3908693,56.2205701,90.5066955,56.2766188,0.8035153714685562,9210.73826444972
Липецк,30300.00160056333,24251.471714252235,503216.0,39.5193581,52.5245333,39.652463,52.6188017,0.8003785621516719,19410.358060715145
Новосибирск,61820.953660959545,47918.696568433756,1620162.0,82.803704,54.9400084,83.020695,55.089789,0.7751206303162356,37142.77028805681
Хабаровск,32462.341354235006,24998.462764334858,610305.0,135.035914,48.372516,135.13268,48.564193,0.7700757777002916,19250.710654556948
Златоуст,20452.153367615883,15716.756400124947,162148.0,59.6343146,55.100252,59.7276602,55.2039412,0.768464626566462,12077.771337858068
Волчанск,7832.347751601757,5892.417977860377,8458.0,60.0124649,59.8916264,60.0782551,59.9381589,0.752318227527033,4432.973448952343
Саратов,54076.32528696845,40201.630773315745,830155.0,45.8786492,51.4507675,46.0279157,51.6023136,0.7434238654342089,29886.851746257234
Новокузнецк,39688.1861748781,29458.39200805623,544583.0,87.099588,53.743496,87.350733,53.889531,0.7422458632464,21865.369605870546
Таганрог,21263.133405388493,15720.087712422095,248269.0,38.8813715,47.1981418,38.9378515,47.2633792,0.7393119072675487,11622.048029083935
Нижний Новгород,74573.94114974652,54183.18797836496,1244254.0,43.769972,56.2055544,44.0468096,56.3537454,0.7265699940621836,39367.8785677108
Новочеркасск,19840.616549154718,13644.204830702587,166312.0,40.0673249,47.4084224,40.103837,47.4867858,0.6876905663137711,9382.990946926953
Орск,34211.35547086791,23415.350942754576,224814.0,58.4363553,51.1991759,58.6749683,51.2584076,0.6844321313925581,16026.21855305426
Санкт-Петербург,222075.4966078438,142257.1303274344,5384342.0,30.063007,59.825575,30.508318,60.067143,0.6405800392226155,91127.07812484466
Бийск,32148.0442585607,20469.71111099152,198433.0,85.0574866,52.4804686,85.2964417,52.5585067,0.636732702815682,13033.734481557827
Уфа,32768.561207536695,20353.307887951214,1125933.0,55.925047,54.711078,56.139069,54.825542,0.6211230257882058,12641.908180163215
Пятигорск,21018.812700712246,12789.822378524867,146267.0,42.9814986,44.027162,43.122732,44.061095,0.6084940458169394,7782.530764388627
Калининград,10670.9937232958,6354.738976982109,493256.0,20.4506557,54.6852965,20.5251884,54.7303085,0.5955152014670486,3784.3436621480073
Нижний Тагил,40950.21828043334,23892.581893832532,344656.0,59.9277332,57.8710352,60.1429851,57.9683164,0.5834543232520151,13940.230199609408
