name,alt_name
"Коломенский городской округ","Коломна"
"Магнитогорский городской округ","Магнитогорск"
"Миасский городской округ","Миасс"
"Челябинский городской округ","Челябинск"
"Златоустовский городской округ","Златоуст"
"Осинниковский городской округ","Осинники"
"Прокопьевский городской округ","Прокопьевск"
"городской округ Ачинск","Ачинск"
"Новокузнецкий городской округ","Новокузнецк"
"Ангарский городской округ","Ангарск"
"Евпаторийский городской совет","Евпатория"
"Старооскольский городской округ","Старый оскол"
"Владивостокский городской округ","Владивосток"
"городской округ Ярославль","Ярославль"
"Заводоуковский городской округ","Заводоуковский район"
"Кемеровский городской округ","Кемерово"
"Пермский городской округ","Пермь"
