row,name,region,population,y2017,y2016,y2015,y2014,y2013,y2012,y2011,y2010
1,Москва,Москва,12506468,12380664,12330126,12197596,12108257,11979529,11856578,11776764,11503501
2,Санкт-Петербург,Санкт-Петербург,5351935,5281579,5225690,5191690,5131942,5028000,4953219,4899344,4879566
3,Новосибирск,Новосибирская область,1612833,1602915,1584138,1567087,1547910,1523801,1498921,1473700,1473754
4,Екатеринбург,Свердловская область,1468833,1455514,1444439,1428042,1412346,1396074,1377738,1350100,1349772
5,Нижний Новгород,Нижегородская область,1259013,1261666,1266871,1267760,1263873,1259921,1254592,1250600,1250619
6,Казань,Татарстан,1243500,1231878,1216965,1205651,1190850,1176187,1161308,1145424,1143535
7,Челябинск,Челябинская область,1202371,1198858,1191994,1183387,1169432,1156201,1143458,1131108,1130132
8,Омск,Омская область,1172070,1178391,1178079,1173854,1166092,1160670,1156583,1154121,1154116
9,Самара,Самарская область,1163399,1169719,1170910,1171820,1172348,1171598,1169184,1166710,1164685
10,Ростов-на-Дону,Ростовская область,1130305,1125299,1119875,1114806,1109835,1103733,1096448,1091544,1089261
11,Уфа,Башкортостан,1120547,1115560,1110976,1105667,1096702,1077719,1072291,1065602,1062319
12,Красноярск,Красноярский край,1090811,1082933,1066934,1052218,1035528,1016385,997316,973900,973826
13,Пермь,Пермский край,1051583,1048005,1041876,1036469,1026477,1013887,1000672,991882,991162
14,Воронеж,Воронежская область,1047549,1039801,1032382,1023570,1014610,1003638,991269,979884,889680
15,Волгоград,Волгоградская область,1013533,1015586,1016137,1017451,1017985,1018790,1018739,1021200,1021215
1,Краснодар,Краснодарский край,899541,881476,853848,829677,805680,784048,763899,744900,744995
2,Саратов,Саратовская область,844858,845300,843460,842097,840785,839755,836892,837436,837900
3,Тюмень,Тюменская область,768358,744554,720575,697037,679861,634171,609650,581800,581907
4,Тольятти,Самарская область,707408,710567,712619,719646,718127,719149,719596,719500,719632
5,Ижевск,Удмуртия,648213,646277,643496,642024,637309,632913,629455,627917,627734
6,Барнаул,Алтайский край,632372,633301,635585,635530,632848,629681,621700,612100,612401
7,Ульяновск,Ульяновская область,626540,624518,621514,619492,616672,615306,614444,614356,637564
8,Иркутск,Иркутская область,623869,623736,623424,620099,612973,606137,597846,589949,587891
9,Хабаровск,Хабаровский край,618150,616242,611160,607216,601043,593636,585556,577753,577441
10,Ярославль,Ярославская область,608722,608079,606703,603961,602400,599169,595155,591500,591486
11,Владивосток,Приморский край,604901,606589,606653,604602,603244,600378,597476,592100,592034
12,Махачкала,Дагестан,596356,592976,587876,583233,578332,576194,574277,578000,572076
13,Томск,Томская область,574002,572740,569293,564910,557179,547989,539205,522900,524669
14,Оренбург,Оренбургская область,564773,564443,562569,561279,560046,556127,554723,547427,548331
15,Кемерово,Кемеровская область,558973,556920,553076,549159,544006,540095,536270,532717,532981
16,Новокузнецк,Кемеровская область,553638,552445,551253,550127,550213,549182,549589,548127,547904
17,Рязань,Рязанская область,538962,537622,534762,532772,530341,527905,525929,525100,524927
18,Астрахань,Астраханская область,533925,532504,531719,532699,530863,527345,525387,520700,520339
19,Набережные Челны,Татарстан,532472,529797,526750,524444,522048,519025,516637,513773,513193
20,Пенза,Пензенская область,523553,523726,524632,522823,521329,519900,519992,517404,517311
21,Липецк,Липецкая область,509735,510439,510020,510152,509719,509098,508066,508890,508887
22,Киров,Кировская область,507155,501468,496986,493336,487138,483176,478012,474053,473695
1,Чебоксары,Чувашия,492331,489498,480741,473895,468725,464940,460383,455181,447929
2,Тула,Тульская область,482873,485221,485930,487841,490508,493813,499511,500314,501169
3,Калининград,Калининградская область,475056,467289,459560,453461,448548,441376,433532,431500,431902
4,Балашиха,Московская область,468221,450771,428400,260704,247075,235336,221804,215300,215494
5,Курск,Курская область,448733,449063,443212,435117,431171,428741,423181,414600,415159
6,Севастополь,Севастополь,436670,428753,416263,398973,393304,342580,340559,340297,340102
7,Улан-Удэ,Бурятия,434869,431922,430550,426650,421453,416079,411646,405799,404426
8,Ставрополь,Ставропольский край,433931,433577,429571,425853,419816,412116,404606,399181,398539
9,Сочи,Краснодарский край,424281,411524,401291,389946,394651,368011,360324,343300,343334
10,Тверь,Тверская область,420065,419363,416442,414006,411042,408877,406918,404030,403606
11,Магнитогорск,Челябинская область,416521,418241,417563,417039,414897,411880,409593,407895,407775
12,Иваново,Ивановская область,406113,406933,408025,409285,409223,409075,408826,409300,408330
13,Брянск,Брянская область,405723,406553,405921,407256,408472,410837,412753,415600,415721
14,Белгород,Белгородская область,391554,391135,387090,384425,379508,373528,366110,356400,356402
15,Сургут,Ханты-Мансийский АО,366189,360590,348643,340845,332313,325511,316624,308507,306675
16,Владимир,Владимирская область,357024,356168,354827,352681,350087,347930,345907,346177,345373
17,Нижний Тагил,Свердловская область,353950,355693,356288,356773,357280,358378,358917,361900,361811
18,Архангельск,Архангельская область,349742,351488,351226,350982,350368,350985,349533,348576,348783
19,Чита,Забайкальский край,349005,347088,343511,339453,335760,331346,327423,323900,324444
20,Симферополь,Крым,341799,341155,336460,332608,332317,337285,335582,336330,336588
21,Калуга,Калужская область,340851,341892,341986,342936,334191,331351,326400,324472,324698
22,Смоленск,Смоленская область,330025,329853,328906,330049,330961,330970,329944,326900,326861
23,Волжский,Волгоградская область,325224,326055,325895,326602,326841,327356,314169,314400,314255
24,Саранск,Мордовия,318841,314789,307698,302285,299195,298287,297924,297400,297415
25,Курган,Курганская область,318045,322042,325189,326292,325720,325565,327898,332803,333606
26,Череповец,Вологодская область,317970,318856,318536,318107,316758,315738,314646,312904,309298
27,Орёл,Орловская область,315308,318633,319651,319550,317076,318136,319138,317900,317747
28,Вологда,Вологодская область,312420,313012,312686,311166,308172,306487,304301,301600,298473
29,Якутск,Якутия,311760,307911,303836,299169,294138,286456,278406,269500,269601
30,Владикавказ,Северная Осетия,306258,306978,307478,308190,307310,308285,310070,311563,311693
31,Подольск,Московская область,302831,299660,293765,223896,218537,206669,193435,188000,187961
32,Грозный,Чечня,297137,291687,287410,283659,280263,277414,275627,271600,271573
33,Мурманск,Мурманская область,295374,298096,301572,305236,299148,302468,305034,307310,307257
34,Тамбов,Тамбовская область,293661,290365,288414,288895,284972,281834,280856,280500,280161
35,Стерлитамак,Башкортостан,279626,280233,279692,278678,277048,275798,274382,273400,273486
36,Петрозаводск,Карелия,279190,278551,277111,275346,272101,268946,265263,263500,261987
37,Кострома,Костромская область,277280,277648,276691,276090,273382,271445,269262,268600,268742
