name,population
Москва,12655050
Санкт-Петербург,5384342
Новосибирск,1620162
Екатеринбург,1495066
Казань,1257341
Нижний Новгород,1244254
Челябинск,1187960
Самара,1144759
Омск,1139897
Ростов-на-Дону,1137704
Уфа,1125933
Красноярск,1092851
Воронеж,1050602
Пермь,1049199
Волгоград,1004763
Краснодар,948827
Саратов,830155
Тюмень,816700
Тольятти,693072
Ижевск,646468
Барнаул,631124
Ульяновск,625462
Иркутск,617515
Хабаровск,610305
Махачкала,604266
Ярославль,601403
Владивосток,600871
Оренбург,572819
Томск,568508
Кемерово,552546
Новокузнецк,544583
Рязань,534801
Набережные Челны,532074
Астрахань,524371
Киров,521091
Пенза,516450
Севастопольне призн.,509992
Балашиха,507307
Липецк,503216
Чебоксары,495810
Калининград,493256
Тула,467955
Ставрополь,454488
Курск,450977
Улан-Удэ,437514
Сочи,432322
Тверь,424969
Магнитогорск,413251
Иваново,401505
Брянск,399579
Белгород,391702
Сургут,387235
Владимир,352347
Чита,350861
Архангельск,344927
Нижний Тагил,344656
Симферопольне призн.,336212
Калуга,331842
Якутск,330615
Грозный,324602
Волжский,323853
Смоленск,320170
Саранск,317432
Череповец,312091
Курган,309285
Подольск,309250
Вологда,308530
Орёл,303696
Владикавказ,301543
Тамбов,289701
Мурманск,282851
Петрозаводск,280711
Нижневартовск,278725
Кострома,277393
Йошкар-Ола,276155
Новороссийск,275795
Стерлитамак,274134
Химки,257757
Таганрог,248269
Мытищи,245643
Сыктывкар,243926
Комсомольск-на-Амуре,241072
Нижнекамск,240097
Нальчик,239054
Шахты,228816
Дзержинск,227326
Энгельс,226143
Благовещенск,225757
Королёв,225299
Братск,225037
Великий Новгород,225019
Орск,224814
Старый Оскол,223711
Ангарск,222855
Псков,209426
Люберцы,208397
Южно-Сахалинск,200235
Бийск,198433
Прокопьевск,187877
Абакан,187239
Армавир,187215
Балаково,186012
Норильск,182701
Рыбинск,182383
Северодвинск,180806
Петропавловск-Камчатский,179367
Красногорск,175812
Уссурийск,172942
Волгодонск,169953
Новочеркасск,166312
Сызрань,165199
Каменск-Уральский,163990
Златоуст,162148
Альметьевск,158019
Электросталь,152607
Керчьне призн.,151996
Миасс,150914
Салават,148947
Хасавюрт,146394
Пятигорск,146267
Копейск,145961
Находка,142673
Рубцовск,139565
Майкоп,139084
Коломна,138693
Березники,137091
Одинцово,135867
Домодедово,135070
Ковров,134074
Нефтекамск,131945
Каспийск,128663
Нефтеюганск,128159
Кисловодск,127919
Новочебоксарск,127586
Батайск,127444
Щёлково,127292
Дербент,126606
Серпухов,125473
Назрань,124169
Раменское,123590
Черкесск,123148
Новомосковск,121674
Кызыл,120067
Первоуральск,119365
Новый Уренгой,118115
Орехово-Зуево,117966
Долгопрудный,117778
Обнинск,116179
Невинномысск,115627
Ессентуки,114824
Октябрьский,113737
Димитровград,112388
Пушкино,108741
Камышин,108665
Ноябрьск,108376
Евпаторияне призн.,108149
Реутов,108000
Жуковский,107558
Северск,105858
Муром,105572
Новошахтинск,105038
Артём,104926
Ачинск,104850
Бердск,103561
Элиста,103535
Арзамас,103396
Ханты-Мансийск,103117
Ногинск,103063
Елец,101306
Железногорск,100554
Зеленодольск,100009
Новокуйбышевск,99469
Сергиев Посад,98784
Тобольск,98772
Воткинск,96861
Саров,96479
Междуреченск,96088
Михайловск,95525
Серов,95141
Сарапул,94554
Анапа,94340
Ленинск-Кузнецкий,93288
Ухта,92479
Воскресенск,92196
Соликамск,91959
Глазов,91921
Магадан,91797
Великие Луки,90485
Мичуринск,89876
Лобня,89522
Гатчина,89311
Канск,88362
Каменск-Шахтинский,87113
Губкин,86073
Бузулук,86042
Киселёвск,85339
Ейск,83127
Ивантеевка,82779
Новотроицк,82463
Чайковский,81855
Бугульма,81678
Железногорск,81619
Юрга,80367
Кинешма,79936
Азов,79857
Кузнецк,79800
Усть-Илимск,79746
Новоуральск,79638
Клин,79635
Видное,78635
Мурино,78184
Ялтане призн.,78171
Озёрск,78128
Кропоткин,77074
Бор,76732
Всеволожск,75660
Геленджик,75504
Черногорск,75348
Усолье-Сибирское,75062
Балашов,74981
Новоалтайск,74586
Дубна,74499
Шадринск,74400
Верхняя Пышма,74262
Выборг,74054
Елабуга,73866
Минеральные Воды,73183
Егорьевск,73046
Троицк,72723
Чехов,71077
Чапаевск,70944
Белово,70611
Биробиджан,70433
Когалым,68700
Кирово-Чепецк,68588
